4,0.0410527,0.000827185
3.9,0.0437653,0.000887878
3.8,0.0436806,0.00087534
3.7,0.0443227,0.000912921
3.6,0.0479274,0.00097388
3.5,0.0490817,0.00098516
3.4,0.0504033,0.00101475
3.3,0.0546298,0.00110619
3.2,0.0573375,0.00114537
3.1,0.0637125,0.00126611
3,0.0673619,0.00134062
2.9,0.0745602,0.00146991
2.8,0.0801274,0.00162148
2.7,0.0989082,0.00198494
2.6,0.117849,0.00236522
2.5,0.14985,0.00293512
2.4,0.308335,0.00470795
2.3,0.529947,0.00698682
2.2,0.788731,0.00881473
2.1,0.867619,0.00960844
2,0.909992,0.0100636
1.9,0.937308,0.0103606
1.8,0.956591,0.0105711
1.7,0.969696,0.010715
1.6,0.979645,0.0108244
1.5,0.986461,0.0108994
1.4,0.99136,0.0109533
1.3,0.994779,0.010991
1.2,0.997037,0.0110159
1.1,0.998501,0.011032
1,0.999249,0.0110403
0.9,0.999698,0.0110452
0.8,0.999905,0.0110475
0.7,0.999978,0.0110483
0.6,0.999997,0.0110485
0.5,1,0.0110485
0.4,1,0.0110485
0.3,1,0.0110485
0.2,1,0.0110485
0.1,1,0.0110485
