4,0.0201615,0.000500474
3.9,0.0213309,0.000886612
3.8,0.022508,0.00170346
3.7,0.0225037,0.00429252
3.6,0.0236226,nan
3.5,0.0243682,nan
3.4,0.0252401,nan
3.3,0.0273356,nan
3.2,0.0294899,nan
3.1,0.031707,nan
3,0.0350341,nan
2.9,0.0362312,nan
2.8,0.0404041,nan
2.7,0.0474198,nan
2.6,0.0577856,nan
2.5,0.0779227,nan
2.4,0.111595,nan
2.3,0.220616,nan
2.2,0.75566,nan
2.1,0.86719,nan
2,0.91183,nan
1.9,0.938589,nan
1.8,0.957064,nan
1.7,0.970193,nan
1.6,0.979805,nan
1.5,0.986566,nan
1.4,0.991532,nan
1.3,0.994906,nan
1.2,0.997149,nan
1.1,0.998588,nan
1,0.999401,nan
0.9,0.999827,nan
0.8,1.00003,nan
0.7,1.0001,nan
0.6,1.00012,nan
0.5,1.00012,nan
0.4,1.00012,nan
0.3,1.00012,nan
0.2,1.00012,nan
0.1,1.00012,nan
